,Rmax,RR,LT,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
6521,29,6,11,262.5546355116897,0.0,106.60687616562868
6522,29,6,12,262.5546355116897,0.0,105.53681015775015
6523,29,6,13,262.5546355116897,0.0,102.50069159438722
6524,29,6,14,262.5546355116897,0.0,99.58209920404187
6525,29,5,0,277.0868665580992,277.0868665580992,277.23197031854596
6526,29,5,1,277.0868665580992,220.93154804187822,239.504679780115
6527,29,5,2,277.0868665580992,167.1449487563877,192.50438894848926
6528,29,5,3,277.0868665580992,126.28431775384342,157.16734297585103
6529,29,5,4,277.0868665580992,105.16585028651653,149.54952128151064
6530,29,5,5,277.0868665580992,85.48071358891703,135.89261415420233
6531,29,5,6,277.0868665580992,61.76801450838565,145.77862595321278
6532,29,5,7,277.0868665580992,38.68087612249225,139.4790694593033
6533,29,5,8,277.0868665580992,14.17270994158396,134.240288406329
6534,29,5,9,277.0868665580992,0.0,134.80322147204294
6535,29,5,10,277.0868665580992,0.0,131.39474705661942
6536,29,5,11,277.0868665580992,0.0,126.60032685097163
6537,29,5,12,277.0868665580992,0.0,120.3031974111122
6538,29,5,13,277.0868665580992,0.0,114.40804670626903
6539,29,5,14,277.0868665580992,0.0,100.0900506038528
6540,29,4,0,293.88030324732455,293.88030324732455,294.03856922158525
6541,29,4,1,293.88030324732455,240.15738389553658,259.51635932754886
6542,29,4,2,293.88030324732455,184.96453397206938,213.69626401754923
6543,29,4,3,293.88030324732455,134.97353315324335,193.94230548792848
6544,29,4,4,293.88030324732455,114.45679427006195,173.99971215571327
6545,29,4,5,293.88030324732455,94.67124391371216,167.71836139870075
6546,29,4,6,293.88030324732455,72.97810293490252,182.4350501920507
6547,29,4,7,293.88030324732455,49.9015081170889,178.27999706102705
6548,29,4,8,293.88030324732455,27.040506137902483,174.38410052565195
6549,29,4,9,293.88030324732455,3.0094341930773254,135.05085520641114
6550,29,4,10,293.88030324732455,0.0,145.92563915468673
6551,29,4,11,293.88030324732455,0.0,117.20451035767763
6552,29,4,12,293.88030324732455,0.0,120.21260893705102
6553,29,4,13,293.88030324732455,0.0,63.5001158701129
6554,29,4,14,293.88030324732455,0.0,63.19616003409806
6555,29,3,0,316.3272233946785,316.3272233946785,316.691100574784
6556,29,3,1,316.3272233946785,269.9326438296219,287.4951875713835
6557,29,3,2,316.3272233946785,218.37079123084084,270.45551944344487
6558,29,3,3,316.3272233946785,165.0096246929137,250.72998077283427
6559,29,3,4,316.3272233946785,136.12163994929054,215.78629295663262
6560,29,3,5,316.3272233946785,116.7274601481102,218.26867815596304
6561,29,3,6,316.3272233946785,97.8223071235329,216.7007344530782
6562,29,3,7,316.3272233946785,76.80141310032772,216.03369408400306
6563,29,3,8,316.3272233946785,54.00447298912799,216.1013850108948
6564,29,3,9,316.3272233946785,32.1448395075575,123.78777999164708
6565,29,3,10,316.3272233946785,9.255018338185906,123.93443376867361
6566,29,3,11,316.3272233946785,0.0,135.9734973299841
6567,29,3,12,316.3272233946785,0.0,112.06257120667206
6568,29,3,13,316.3272233946785,0.0,127.5034180403338
6569,29,3,14,316.3272233946785,0.0,116.45865079553575
6570,29,2,0,357.0756471788501,357.0756471788501,357.19521144731164
6571,29,2,1,357.0756471788501,322.14813380585844,352.4367492480931
6572,29,2,2,357.0756471788501,282.43186126671213,329.08887832267555
6573,29,2,3,357.0756471788501,249.26757329060558,301.54567340696815
6574,29,2,4,357.0756471788501,211.64356925521594,253.77058786813416
6575,29,2,5,357.0756471788501,175.28545937407674,237.58528004057683
6576,29,2,6,357.0756471788501,151.6861970298623,233.48694568943273
6577,29,2,7,357.0756471788501,130.2941915759805,227.34436407214113
6578,29,2,8,357.0756471788501,109.25109803120866,218.98984895157298
6579,29,2,9,357.0756471788501,88.02589829184078,210.68785766257213
6580,29,2,10,357.0756471788501,67.5238831393786,187.26109901330753
6581,29,2,11,357.0756471788501,46.499872880443235,142.91296192846744
6582,29,2,12,357.0756471788501,28.09079788778427,147.45030669317245
6583,29,2,13,357.0756471788501,8.159871425536902,141.7518732765229
6584,29,2,14,357.0756471788501,39.12615015024389,148.95760753890337
6585,29,1,0,432.85405496442263,432.85405496442263,436.4101506967856
6586,29,1,1,432.85405496442263,408.7324838616231,411.93849639526996
6587,29,1,2,432.85405496442263,382.04126658981204,392.1947622874935
6588,29,1,3,432.85405496442263,354.78309064551166,352.21334011875604
6589,29,1,4,432.85405496442263,331.0958939501716,345.2912099496648
6590,29,1,5,432.85405496442263,308.72445108697013,326.47194565439986
6591,29,1,6,432.85405496442263,283.20838967488737,309.6270743669637
6592,29,1,7,432.85405496442263,257.1740804530794,288.08989992467525
6593,29,1,8,432.85405496442263,228.24746754599462,291.3300773846399
6594,29,1,9,432.85405496442263,196.12609511010996,287.5069261672007
6595,29,1,10,432.85405496442263,166.79930620152751,268.7908328747479
6596,29,1,11,432.85405496442263,139.64585396262788,247.93079956928744
6597,29,1,12,432.85405496442263,113.7058457111175,232.40614888311794
